#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-10-29T15:09:37 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5bd721134935 
#INFO -out.max=1000 
#INFO queryParameters=16 
#-oc.form=sexa
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/523/A7&tab:{J/A+A/523/A7/table11}&key:source=J/A+A/523/A7/table11&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/A+A/523/A7/table11
#-order=I
#-out=SNLS
#-out=z
#-out=mb.S2
#-out=e_mb.S2
#-out=x1.S2
#-out=e_x1.S2
#-out=c.S2
#-out=e_c.S2
#
#
#RESOURCE=yCat_35230007
#Name: J/A+A/523/A7
#Title: Light curves of type Ia supernovae in SNLS (Guy+, 2010)
#Table J_A_A_523_A7_table11:
#Name: J/A+A/523/A7/table11
#Title: SALT2 and SiFTO light curve parameters
#---Details of Columns:
#    SNLS          (A6)    SN name (<SNLS NNANaa> in Simbad) [ucd=meta.id;meta.main]
#    z             (F7.4)  Heliocentric redshift [ucd=src.redshift]
#    mb.S2 (mag)   (F6.3)  SALT2 rest-frame B-band magnitude [ucd=phot.mag;meta.modelled]
#    e_mb.S2 (mag) (F6.3)  Statistical uncertainty on mb.S2 [ucd=stat.error]
#    x1.S2 (mag)   (F6.3)  SALT2 shape parameter x1 [ucd=phot.mag;meta.modelled]
#    e_x1.S2 (mag) (F6.3)  Statistical uncertainty on x1.S2 [ucd=stat.error]
#    c.S2 (mag)    (F6.3)  SALT2 colour parameter [ucd=phot.mag;meta.modelled]
#    e_c.S2 (mag)  (F6.3)  Statistical uncertainty on c.S2 [ucd=stat.error]
#------ ------- ------ ------ ------ ------ ------ ------
#                      e             e                   
#               mb.S2  _mb.S2 x1.S2  _x1.S2 c.S2   e_c.S2
#SNLS   z       (mag)  (mag)  (mag)  (mag)  (mag)  (mag) 
#------ ------- ------ ------ ------ ------ ------ ------
03D1ar  0.4080 23.941  0.033 -0.945  0.209  0.266  0.035
03D1au  0.5043 23.009  0.026  1.273  0.198 -0.015  0.030
03D1aw  0.5820 23.584  0.030  1.161  0.342 -0.021  0.037
03D1ax  0.4960 22.961  0.026 -0.574  0.114 -0.112  0.031
03D1bk  0.8650 24.296  0.047  0.211  0.274 -0.249  0.054
03D1bm  0.5750 24.335  0.039  0.567  0.347  0.358  0.056
03D1bp  0.3470 22.387  0.032 -1.145  0.135 -0.051  0.028
03D1co  0.6790 24.076  0.046  0.833  0.445 -0.047  0.064
03D1dj  0.4000 22.402  0.030 -0.455  1.202 -0.076  0.039
03D1dt  0.6120 23.277  0.035  0.132  0.635 -0.106  0.047
03D1ew  0.8680 24.323  0.050  0.502  0.365 -0.060  0.064
03D1fc  0.3320 21.855  0.030  0.599  0.172 -0.026  0.025
03D1fq  0.8000 24.503  0.045 -0.752  0.366 -0.061  0.063
03D1gt  0.5600 24.042  0.065 -1.032  0.598  0.333  0.084
03D3af  0.5320 23.497  0.039  0.046  0.254  0.068  0.069
03D3aw  0.4490 22.631  0.045  0.620  0.281 -0.091  0.043
03D3ay  0.3709 22.269  0.044  0.511  0.230 -0.058  0.035
03D3ba  0.2912 21.959  0.042  0.891  0.172  0.101  0.039
03D3bl  0.3553 22.932  0.028  0.266  0.236  0.210  0.031
03D3cc  0.4627 22.613  0.049  0.591  0.289 -0.085  0.038
03D3cd  0.4607 22.583  0.070  1.882  0.828 -0.037  0.049
03D4ag  0.2850 21.273  0.033  0.938  0.149 -0.070  0.024
03D4at  0.6340 23.732  0.033  0.203  0.350 -0.058  0.065
03D4au  0.4680 23.789  0.033  0.481  0.346  0.120  0.044
03D4cj  0.2700 21.054  0.032  1.240  0.134 -0.088  0.025
03D4cx  0.9490 24.439  0.062 -0.108  0.582  0.017  0.063
03D4cy  0.9270 24.669  0.081  0.857  0.686 -0.073  0.068
03D4cz  0.6950 24.016  0.051 -1.800  0.433 -0.147  0.089
03D4dh  0.6270 23.387  0.030  1.277  0.234 -0.074  0.048
03D4di  0.8990 24.296  0.056  1.347  0.450 -0.089  0.060
03D4dy  0.6100 23.255  0.032  1.354  0.250 -0.094  0.036
03D4fd  0.7910 24.222  0.041  1.019  0.489 -0.052  0.062
03D4gf  0.5800 23.325  0.028  0.719  0.356 -0.034  0.039
03D4gg  0.5920 23.422  0.036  0.906  0.474  0.007  0.042
03D4gl  0.5710 23.408  0.087  4.827  7.518  0.023  0.077
04D1ag  0.5570 22.982  0.032  0.316  0.345 -0.165  0.050
04D1aj  0.7210 23.897  0.034  0.507  0.323 -0.038  0.062
04D1ak  0.5260 23.641  0.048 -1.678  0.350  0.015  0.055
04D1dc  0.2110 21.072  0.030 -1.137  0.087  0.000  0.026
04D1de  0.7680 24.124  0.035  0.889  0.262 -0.132  0.052
04D1ff  0.8600 24.219  0.042  0.738  0.301  0.029  0.055
04D1hd  0.3690 22.162  0.025  0.756  0.096 -0.096  0.023
04D1hx  0.5600 23.703  0.026  0.474  0.206  0.107  0.035
04D1hy  0.8500 24.299  0.041  1.324  0.325 -0.053  0.053
04D1iv  0.9980 24.600  0.059  1.510  0.418 -0.121  0.052
04D1jd  0.7780 24.407  0.038  0.250  0.299  0.060  0.065
04D1jg  0.5842 23.264  0.028  0.337  0.182 -0.113  0.035
